100000,7388307,5222055
100000,6950271,4176308
100000,7196608,5403477
100000,6981349,5359628
100000,6939166,4092165
100000,6833001,6195314
100000,6735982,4048173
100000,6975348,4019234
100000,7117789,4084551
100000,7338815,4630154
100000,6622197,4348402
100000,7004400,4115034
100000,7156552,4172846
100000,7541993,5315023
100000,7283594,4240389
100000,6513777,3946064
100000,6811333,5007600
100000,6958962,5175747
100000,7340815,4134974
100000,7081064,4421305
100000,7546409,5219952
100000,7603205,5249372
100000,7709421,5508417
100000,6653113,4184463
100000,7117015,4354644
100000,7113978,5215535
100000,7007270,4333685
100000,7094737,4243689
100000,7212917,4104490
100000,6960127,5268261
100000,6867833,4084883
100000,6727729,4128568
100000,6581067,4239834
100000,6801249,4118385
100000,6964844,5090306
100000,6737988,5254525
100000,6940817,5209502
100000,6878058,4141530
100000,6780288,4250185
100000,6717200,4305375
100000,6871712,4032180
100000,7033701,4250415
100000,6850950,4048622
100000,6905438,4131160
100000,7131539,4133689
100000,6918122,4264235
100000,6880882,4180535
100000,6821279,5182361
100000,7069192,4092043
100000,7652620,5262672
