100,6892285,767646
100,7538273,817924
100,7463760,838613
100,6950179,777950
100,6870498,769188
100,7549225,848565
100,7210722,816779
100,6838988,809357
100,7066915,772073
100,7244164,811691
100,6821482,808360
100,6867829,767332
100,7719504,886834
100,6871689,764991
100,7480965,842555
100,7496774,857503
100,6874093,769255
100,6908268,773207
100,7120254,767695
100,6881933,769170
100,7277582,821316
100,7250999,815672
100,7658235,863596
100,6853205,769269
100,6978796,769083
100,7694636,875299
100,6938922,774861
100,6842905,766140
100,7708348,868716
100,7286356,815432
100,6888479,769022
100,6854548,775402
100,7231442,826697
100,7488381,844003
100,6953364,763319
100,7500785,876794
100,7294499,837138
100,6803970,812981
100,7288490,815448
100,7792071,813468
100,7371594,809852
100,7554508,863463
100,6814505,806677
100,6965304,774127
100,7295756,815989
100,6858929,813736
100,7292230,814592
100,6827412,819296
100,7268429,820456
100,7705468,843942
