1024	0.0712	0.0080	116060.3333	13326.0447
1048576	1.0324	0.0341	8131314.3333	273819.9200
128	0.0101	0.0008	101829.0000	8961.5258
131072	0.9123	0.0226	1149808.6667	28860.7799
16384	0.4456	0.0442	296220.0000	30893.6846
16777216	1.1052	0.0039	121445947.3333	423044.7766
2048	0.1255	0.0137	131596.0000	14232.2997
2097152	1.0235	0.0132	16393971.3333	212498.6161
256	0.0190	0.0018	108253.3333	9761.5744
262144	0.9804	0.0019	2139034.6667	4108.6962
32768	0.6565	0.0048	399294.0000	2891.5119
33554432	1.1181	0.0083	240095525.6667	1781863.2162
4096	0.2472	0.0182	133029.6667	10194.2046
4194304	1.0502	0.0360	31977120.0000	1105142.6461
512	0.0383	0.0041	107790.3333	11073.9565
524288	1.0081	0.0151	4161048.3333	62705.4424
64	0.0052	0.0006	100046.6667	12517.0085
65536	0.7979	0.0431	658345.3333	35746.3695
67108864	1.0644	0.0106	504441733.3333	5041437.0990
8192	0.3275	0.0296	201233.3333	19134.9243
8388608	1.0512	0.0176	63851626.6667	1076501.8161
