1024	0.0096	0.0004	858670.3333	31772.7413
1048576	0.3253	0.0106	25812445.5000	872515.3472
128	0.0013	0.0001	816786.3333	36380.9368
131072	0.0799	0.0026	13134092.5000	429030.8408
16384	0.0777	0.0024	1688471.5000	51656.0932
16777216	0.5533	0.0160	242748958.6667	7226513.3129
2048	0.0179	0.0006	915764.3333	33826.8337
2097152	0.4038	0.0149	41595664.6667	1509665.6191
256	0.0025	0.0001	816110.1667	30577.5489
262144	0.1361	0.0058	15436997.6667	660362.5437
32768	0.1023	0.0050	2567703.3333	130014.7083
33554432	0.5424	0.0391	497298639.6667	39540212.2745
4096	0.0304	0.0005	1076663.1667	17808.4735
4194304	0.4854	0.0062	69130327.1667	871756.8905
512	0.0050	0.0002	818330.8333	39611.7204
524288	0.2257	0.0076	18602410.3333	653301.2231
64	0.0006	0.0000	843761.8333	55659.3521
65536	0.1230	0.0051	4267901.5000	177578.4939
67108864	0.4541	0.0057	1182379307.0000	14948523.1920
8192	0.0520	0.0020	1263063.3333	49214.0199
8388608	0.5230	0.0152	128416968.3333	3852586.4505
