1024	0.0011	0.0000	7228447.0000	242627.4590
1048576	0.3915	0.0127	21447292.8333	716907.8052
128	0.0001	0.0000	7265175.6667	281416.3752
131072	0.0972	0.0020	10796222.5000	230832.9593
16384	0.0135	0.0005	9686416.5000	323488.3732
16777216	0.6711	0.0213	200168251.0000	6624386.2070
2048	0.0023	0.0001	7133482.1667	236169.6463
2097152	0.4819	0.0137	34834356.1667	957178.1031
256	0.0003	0.0000	7104691.3333	329063.1493
262144	0.1650	0.0042	12715983.6667	326112.2013
32768	0.0266	0.0008	9872293.6667	311082.6362
33554432	0.6725	0.0292	399817510.3333	17764547.5286
4096	0.0044	0.0001	7519298.8333	231092.1348
4194304	0.5929	0.0076	56597081.8333	723579.3932
512	0.0006	0.0000	7108863.6667	289787.0336
524288	0.2699	0.0122	15571026.8333	751911.4201
64	0.0001	0.0000	7423352.3333	845040.5063
65536	0.0509	0.0018	10318162.6667	364758.5241
67108864	0.6797	0.0213	790538974.8333	24913339.1462
8192	0.0069	0.0003	9540860.1667	371932.8047
8388608	0.6368	0.0121	105409147.1667	1980769.1678
