1024	0.0513	0.0018	159788.3333	5407.4467
1048576	0.5207	0.0039	16110109.3333	119085.7317
128	0.0154	0.0005	66646.3333	2298.7965
131072	0.2084	0.0301	5108028.0000	803752.9587
134217728	4.6353	0.0746	231686803.3333	3759366.5481
16384	0.0631	0.0133	2149806.6667	514807.0874
16777216	2.5711	0.0589	52221088.0000	1213034.0996
2048	0.0590	0.0021	277843.3333	9479.4085
2097152	0.6153	0.0464	27374307.3333	2138673.4633
256	0.0252	0.0011	81235.0000	3558.7668
262144	0.2682	0.0273	7878246.6667	849268.3240
268435456	4.8440	0.1182	443503725.0000	10788503.0632
32768	0.0796	0.0127	3355840.3333	586031.4466
33554432	3.5057	0.1908	76726954.0000	4302426.5546
4096	0.0594	0.0010	551586.3333	9411.0935
4194304	1.0789	0.1588	31600529.3333	5081738.4680
512	0.0371	0.0005	110314.6667	1402.4640
524288	0.3909	0.0666	10966528.0000	2071979.2702
536870912	4.3810	0.0614	980488165.0000	13854242.0792
64	0.0079	0.0005	64664.0000	4261.4456
65536	0.1327	0.0225	4034754.6667	750394.7269
67108864	4.2612	0.0333	125995589.0000	982122.5850
8192	0.0642	0.0027	1021934.3333	41628.4790
8388608	1.7593	0.2023	38507913.3333	4719713.9438
