32,2048,45553419,737806
32,2048,35268994,726127
32,2048,36991981,754702
32,2048,36420359,691067
32,2048,46080847,753185
32,2048,35572063,674810
32,2048,36881613,699236
32,2048,36365467,661537
32,2048,36294386,721797
32,2048,47009121,1017995
32,2048,36202525,798903
32,2048,36558125,684418
32,2048,35608306,692592
32,2048,36919305,707406
32,2048,47025504,793882
32,2048,35915944,675888
32,2048,47766085,1060782
32,2048,46436421,712712
32,2048,37621704,741437
32,2048,35375650,663265
32,2048,44820264,710022
32,2048,44085231,676069
32,2048,47089270,728977
32,2048,36348481,726751
32,2048,35389557,725865
32,2048,36281020,700339
32,2048,36108321,689508
32,2048,47321528,813508
32,2048,35367997,711058
32,2048,36245563,695006
32,2048,45621803,1047873
32,2048,36468037,701353
32,2048,44113741,702312
32,2048,47048360,756388
32,2048,45185794,695296
32,2048,36572317,713438
32,2048,36258298,685277
32,2048,37243287,758326
32,2048,37186792,754471
32,2048,36578729,727568
32,2048,35947988,655200
32,2048,35918930,667712
32,2048,35709257,807782
32,2048,44751250,658893
32,2048,36285458,693790
32,2048,38853438,739592
32,2048,46297780,722498
32,2048,35887454,659374
32,2048,45981467,1021451
32,2048,35322974,660651
