64	0.0001	0.0000	64664.0000	4261.4456
128	0.0002	0.0000	66646.3333	2298.7965
256	0.0004	0.0000	81235.0000	3558.7668
512	0.0009	0.0000	110314.6667	1402.4640
1K	0.0018	0.0000	159788.3333	5407.4467
2K	0.0034	0.0001	277843.3333	9479.4085
4K	0.0063	0.0001	551586.3333	9411.0935
8K	0.0120	0.0007	1021934.3333	41628.4790
16K	0.0210	0.0007	2149806.6667	514807.0874
32K	0.0419	0.0021	3355840.3333	586031.4466
65K	0.0777	0.0033	4034754.6667	750394.7269
131K	0.1457	0.0048	5108028.0000	803752.9587
262K	0.2188	0.0237	7878246.6667	849268.3240
524K	0.3575	0.0058	10966528.0000	2071979.2702
1M	0.4676	0.0046	16110109.3333	119085.7317
2M	0.6087	0.0680	27374307.3333	2138673.4633
4M	1.2304	0.0067	31600529.3333	5081738.4680
8M	2.0365	0.0417	38507913.3333	4719713.9438
16M	3.0822	0.0648	52221088.0000	1213034.0996
33M	4.2396	0.0863	76726954.0000	4302426.5546
67M	5.2779	0.0774	125995589.0000	982122.5850
134M	5.9187	0.1319	231686803.3333	3759366.5481
268M	6.4640	0.0503	443503725.0000	10788503.0632
536M	6.6881	0.0555	980488165.0000	13854242.0792
